GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AHY1E001,AHZZE001,AHZZE002,AHZZE003,AHZZE004,AHZZE005,AHZZE006,AHZZE007,AHZZE008,AHZZE009,AH1OE001,AH1OE002,AH1OE003,AH1OE004,AH1OE005,AH1OE006,AH1OE007,AH1OE008,AH1OE009,AH1OE010,AH1OE011,AH1OE012,AH1OE013,AH1OE014,AH1OE015,AH1OE016,AH1OE017,AH1QE001,NAME_M,AHY1M001,AHZZM001,AHZZM002,AHZZM003,AHZZM004,AHZZM005,AHZZM006,AHZZM007,AHZZM008,AHZZM009,AH1OM001,AH1OM002,AH1OM003,AH1OM004,AH1OM005,AH1OM006,AH1OM007,AH1OM008,AH1OM009,AH1OM010,AH1OM011,AH1OM012,AH1OM013,AH1OM014,AH1OM015,AH1OM016,AH1OM017,AH1QM001
"G280","2013-2017","MS",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US28",,,"Mississippi",2986220,1103514,745382,493652,251730,54298,197432,358132,310702,47430,1103514,118221,80732,76365,69523,64638,62387,56311,54692,44936,87566,101003,119688,70729,36696,33082,26945,64413682400,"Mississippi",0,4104,4376,4426,3070,1699,2738,4056,3809,1609,4104,2673,1975,1969,1771,1724,2000,1628,1542,1774,2282,2102,2196,1887,1495,1112,1156,550604793
"G290","2013-2017","MO",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US29",,,"Missouri",6075300,2386203,1537957,1150676,387281,105431,281850,848246,696905,151341,2386203,168116,124849,126150,133334,127279,130552,123084,120796,103774,198389,250663,291301,186816,106094,101637,93369,167377874100,"Missouri",0,6827,5882,7536,4029,2172,2959,4430,5053,2676,6827,2505,2159,2084,2530,2503,2352,2469,2327,2008,2866,3206,3241,2669,2308,2192,1991,1092886178
"G300","2013-2017","MT",,,"Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US30",,,"Montana",1029862,419975,260749,208408,52341,17781,34560,159226,127716,31510,419975,28634,23152,22896,24321,23155,23776,22173,20708,17897,35490,44956,50409,32624,18244,15964,15576,28819555200,"Montana",0,2155,2368,2461,1426,905,1104,1663,1721,1263,2155,981,973,1002,987,928,958,1052,895,811,1197,1500,1372,1131,864,777,811,354015802
"G310","2013-2017","NE",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US31",,,"Nebraska",1893921,748405,482941,378878,104063,30906,73157,265464,216775,48689,748405,42501,33109,34090,37815,36723,38095,37515,36131,32003,64764,83658,100345,68067,37654,34944,30991,55613018600,"Nebraska",0,2213,2398,2936,1946,1151,1577,2043,2276,1262,2213,1185,1039,1035,1133,1163,1193,1155,964,1088,1337,1599,1860,1387,1007,994,820,355983880
"G320","2013-2017","NV",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US32",,,"Nevada",2887725,1052249,671449,472699,198750,63951,134799,380800,299082,81718,1052249,65626,45256,48475,54178,53119,56745,51398,52219,47945,88700,117341,136694,89359,52323,49339,43532,77720958400,"Nevada",0,3833,4239,4259,2966,1684,2036,3210,3340,1757,3833,1707,1364,1572,1539,1547,1527,1460,1687,1581,1877,2374,2291,1866,1503,1321,1115,591994893
"G330","2013-2017","NH",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US33",,,"New Hampshire",1331848,526710,350658,277902,72756,23372,49384,176052,134536,41516,526710,20769,18322,19462,20888,20404,21817,19721,20291,20672,38425,56287,74488,57074,37543,41924,38623,48249109000,"New Hampshire",0,2332,2408,2884,1907,1276,1510,2251,2283,1217,2332,815,872,835,883,1008,851,831,1048,941,1168,1453,1733,1437,1396,1271,1097,461552596
"G340","2013-2017","NJ",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US34",,,"New Jersey",8960161,3199111,2217279,1638023,579256,155273,423983,981832,822446,159386,3199111,170840,113188,122586,124552,117171,114855,111299,110811,100153,206454,283871,390092,324278,232660,296256,380045,338840563100,"New Jersey",0,7594,7882,9541,5290,3136,3774,5661,5406,2970,7594,2562,2423,2641,2191,2350,2168,2384,2438,2237,3354,3746,3651,3412,3385,3615,4047,1764819955
"G350","2013-2017","NM",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US35",,,"New Mexico",2084828,770435,491535,341279,150256,43657,106599,278900,233131,45769,770435,72940,47650,47683,47614,42844,40441,37660,36034,33820,59405,73761,86095,56339,31130,30974,26045,49789598000,"New Mexico",0,3318,2901,3302,2868,1652,2271,2999,2674,1617,3318,1712,1456,1544,1726,1702,1490,1510,1260,1421,1544,2020,2079,1728,1165,1216,871,466032009
"G360","2013-2017","NY",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US36",,,"New York",19798228,7302710,4633030,3223907,1409123,363352,1045771,2669680,2171572,498108,7302710,516085,387751,338489,329437,308071,309724,288290,285362,248822,497608,662900,865640,652954,439386,524362,647829,682386636800,"New York",0,13551,13952,16020,6697,4766,5838,8328,7805,4725,13551,4432,3994,4287,4314,3587,4130,3399,3881,3320,4263,4963,5495,4950,4808,4997,5975,3545785400
"G370","2013-2017","NC",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US37",,,"North Carolina",10052564,3874346,2551439,1867399,684040,171483,512557,1322907,1095349,227558,3874346,281012,223101,213698,217659,212584,214135,194916,196482,171472,315531,386737,456493,287324,166205,168630,168367,273231005100,"North Carolina",0,8789,9771,10168,4862,3157,4126,6869,6143,3761,8789,3276,3231,3013,3016,2940,3101,2886,3120,2954,4661,4610,4896,4059,2637,2559,2571,1471457669
"G380","2013-2017","ND",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US38",,,"North Dakota",745475,311525,187057,150485,36572,13115,23457,124468,96953,27515,311525,18381,13583,13146,14044,14107,14600,13687,13999,12982,23850,33074,43906,30156,18887,16797,16326,25337624600,"North Dakota",0,1685,1917,1880,1275,675,1039,1915,1722,1128,1685,837,725,823,772,880,874,881,816,962,1065,1126,1213,1113,956,807,820,299112539
