GISJOIN,STATEFP20
G53000109503011033,53
G53000109503011034,53
G53000109503011035,53
G53000109503011036,53
G53000109503011037,53
G53000109503011038,53
G53000109503011039,53
G53000109503011040,53
G53000109503011041,53
G53000109503011042,53
G53000109503011043,53
G53000109503011044,53
G53000109503011045,53
G53000109503011046,53
G53000109503011047,53
G53000109503011048,53
G53000109503011049,53
G53000109503011050,53
G53000109503011051,53
G53000109503011052,53
G53000109503011053,53
G53000109503011054,53
G53000109503011055,53
G53000109503011056,53
G53000109503011057,53
G53000109503011058,53
G53000109503011059,53
G53000109503011060,53
G53000109503011061,53
G53000109503011062,53
G53000109503011063,53
G53000109503011064,53
G53000109503011065,53
G53000109503011066,53
G53000109503011067,53
G53000109503011068,53
G53000109503011069,53
G53000109503011070,53
G53000109503011071,53
G53000109503011072,53
G53000109503011073,53
G53000109503011074,53
G53000109503011075,53
G53000109503011076,53
G53000109503011077,53
G53000109503011078,53
G53000109503011079,53
G53000109503011080,53
G53000109503011081,53
G53000109503011082,53
G53000109503011083,53
G53000109503011084,53
G53000109503011085,53
G53000109503011086,53
G53000109503011087,53
G53000109503011088,53
G53000109503011089,53
G53000109503011090,53
G53000109503011091,53
G53000109503011092,53
G53000109503011093,53
G53000109503011094,53
G53000109503011095,53
G53000109503011096,53
G53000109503011097,53
G53000109503011098,53
G53000109503011099,53
G53000109503011100,53
G53000109503011101,53
G53000109503011102,53
G53000109503011103,53
G53000109503011104,53
G53000109503011105,53
G53000109503011106,53
G53000109503011107,53
G53000109503011108,53
G53000109503011109,53
G53000109503011110,53
G53000109503011111,53
G53000109503011112,53
G53000109503011113,53
G53000109503011114,53
G53000109503011115,53
G53000109503011116,53
G53000109503011117,53
G53000109503011118,53
G53000109503011119,53
G53000109503011120,53
G53000109503011121,53
G53000109503011122,53
G53000109503011123,53
G53000109503011124,53
G53000109503011125,53
G53000109503011126,53
G53000109503011127,53
G53000109503011128,53
G53000109503011129,53
G53000109503011130,53
G53000109503011131,53
G53000109503011132,53
G53000109503011133,53
G53000109503011134,53
G53000109503011135,53
G53000109503011136,53
G53000109503011137,53
G53000109503011138,53
G53000109503011139,53
G53000109503011140,53
G53000109503011141,53
G53000109503011142,53
G53000109503011143,53
G53000109503021000,53
G53000109503021001,53
G53000109503021002,53
G53000109503021003,53
G53000109503021004,53
G53000109503021005,53
G53000109503021006,53
G53000109503021007,53
G53000109503021008,53
G53000109503021009,53
G53000109503021010,53
G53000109503021011,53
G53000109503021012,53
G53000109503021013,53
G53000109503021014,53
G53000109503021015,53
G53000109503021016,53
G53000109503021017,53
G53000109503021018,53
